"","NMDS1","NMDS2","envfit_result$vectors$pvals"
"Andropogon ternarius",0.309645692686594,0.950852010041857,0.962
"Andropogon virginicus",0.544480825984359,0.838773288878103,0.627
"Aristida beyrichiana",0.997964543534138,-0.0637712305722549,0.642
"Baccharis halimifolia",0,0,1
"Bareground",0.784655400400025,-0.619932175824966,0.147
"Bulbostylis spp.",0.952771909978416,0.303686824798313,0.177
"Cirsium spp.",-0.813482661099784,0.58158916778944,0.439
"Crotalaria rotundifolia",0.722048897991755,0.691842025977674,0.118
"Crotalaria spectabilis",-0.813482661099784,0.58158916778944,0.439
"Cynodon dactylon",0.684635972322713,-0.7288851661282,0.071
"Cyperus esculentus",-0.419662489816533,0.907680227084951,0.702
"Cyperus spp.",0.0823951347642521,-0.996599739999555,0.046
"Dalea pinnata",0,0,1
"Dichanthelium spp.",0.858119540671254,0.513449952690772,0.417
"Dichondra spp.",0.659166048711425,0.751997420358718,0.625
"Digitaria spp.",-0.97786259956586,-0.209248025965119,0.336
"Eragrostis spectabilis",-0.636708273554908,0.771104775232737,0.001
"Eremochloa ophiuroides",-0.700811923087976,-0.713346093041612,0.756
"Erigeron canadensis",0.021677109361286,0.999765023857976,0.425
"Eupatorium capilifolium",-0.423948614618746,-0.905686243774767,0.244
"Galactia spp.",-0.735184704410227,0.677866838251619,0.436
"Gamochaeta spp.",-0.343820816246648,-0.939035274265823,0.285
"Indigofera hirsuta",0.0617459497837998,-0.998091898416822,0.003
"Lactuca canadensis",-0.984302534965142,0.176489432151603,0.174
"Liatris gracilis",-0.322253724050171,0.946653335353442,0.417
"Liquidambar styraciflua",0,0,1
"Oenothera laciniata",0,0,1
"Oxalis corniculata",-0.987816541408677,0.155622879164341,0.557
"Paspalum notatum",0.312936632959324,-0.949774006673209,0.087
"Paspalum setaceum",0.326866642932133,-0.945070472366097,0.071
"Phyllanthus urinaria",-0.631457417039012,-0.775410556071053,0.794
"Phytolacca americana",0,0,1
"Pityopsis trayci",0.998968135532669,-0.0454165629521017,0.696
"Polypremum procumbens",0,0,1
"Raphanus raphanistrum",0,0,1
"Richardia spp.",0.896035882438424,0.44398164081727,0.105
"Rubus spp.",0.438524124438923,-0.898719417997117,0.046
"Rumex hastatulus",0.598127692756909,-0.80140081305006,0.904
"Solanum viarum",-0.449754953189767,-0.893151992709679,0.324
"Sorghastrum secundum",0.780632749647071,0.624990008062892,0.001
"Urtica dioica",0,0,1
"Verbena spp.",0,0,1
